iter	Passed	Remaining
0	51	5070
1	51	2528
2	52	1685
3	52	1256
4	52	997
5	52	826
6	52	702
7	53	609
8	53	538
9	53	480
10	53	434
11	54	400
12	54	366
13	54	337
14	55	312
15	55	293
16	56	273
17	56	255
18	56	240
19	56	225
20	57	215
21	57	204
22	57	193
23	57	183
24	58	174
25	58	165
26	58	157
27	59	152
28	59	145
29	184	430
30	184	411
31	184	392
32	185	376
33	185	360
34	186	346
35	187	332
36	187	319
37	187	306
38	187	293
39	188	282
40	188	271
41	188	260
42	188	250
43	190	242
44	192	235
45	193	226
46	193	218
47	196	213
48	197	205
49	197	197
50	197	190
51	198	182
52	198	176
53	203	173
54	203	166
55	204	160
56	204	154
57	204	148
58	204	142
59	205	136
60	205	131
61	205	126
62	205	120
63	206	116
64	206	111
65	206	106
66	207	102
67	210	99
68	211	94
69	211	90
70	211	86
71	215	83
72	215	79
73	215	75
74	216	72
75	217	68
76	217	64
77	218	61
78	221	58
79	221	55
80	225	52
81	225	49
82	228	46
83	228	43
84	232	41
85	232	37
86	232	34
87	236	32
88	236	29
89	237	26
90	237	23
91	241	20
92	241	18
93	241	15
94	241	12
95	241	10
96	241	7
97	242	4
98	242	2
99	243	0
